newStory*************************************
newScene0*************************************

1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	
33	آن	PR	POSDEP	32	زمين§n-13297	شيء§n-12703	location		19||| %%%%
34	بهره‌مند	ADJ	MOS	35	متمتع§a-17760	مشخصه§n-12756	role_intent	Arg2		12||| %%%%
35	شوند	V	VCL	17	گردیدن§v-9382	رخداد§n-13136	junk		||| %%%%
36	.	PUNC	PUNC	15	null	null	junk		||| %%%%

1	آدم	N	SBJ	14	آدم§n-14705	نفر§n-13075	role	Arg1	Arg0		||| %%%%
2	و	CONJ	NCONJ	1	null	null	junk		||| %%%%
3	حوا	N	NCONJ	1	null	null	role		||| %%%%
4	وقتي	N	ADVRB	14	null	null	junk	ArgM_TMP		||| %%%%
5	از	PREP	NPP	8	null	null	junk	Arg3		||| %%%%
6	بهشت	N	NPP	8	جنت§n-11846	جا§n-12733	location	Arg3		||| %%%%
7	دنيا	N	MOZ	6	عالم§n-10090	شيء§n-12703	location		||| %%%%
8	اخراج	N	NVE	9	اخراج§n-10459	رخداد§n-13136	role_state		1||| %%%%
9	شدند	V	NCL	4	معزول شدن§v-8026	رخداد§n-13136	role_action		1||| %%%%
10	در	PREP	VPP	14	null	null	junk	Arg4		||| %%%%
11	سرزمين	N	VPP	14	خطه§n-13265	جا§n-12733	location	Arg4		||| %%%%
12	مکه	N	MOZ	11	مکه مکرمه§n-23602	جا§n-12733	location		loc||| %%%%
13	فرود	N	NVE	14	پايين رفتن§n-12788	رخداد§n-13136	no		||| %%%%
14	آمدند	V	ROOT	0	فرود آمدن§v-9200	رخداد§n-13136	role_action		1||| %%%%
15	.	PUNC	PUNC	14	null	null	junk		||| %%%%
roles= [
	[3	آن‌ها	PR	OBJ	10	آدم§n-14705	نفر§n-13075	role	Arg1		*-2||| %%%%]
			[12	آن‌ها	PR	OBJ	15	آدم§n-14705	نفر§n-13075	role	Arg1		*-2||| %%%%]
	[31	شان	PR	MOZ	30	آدم§n-14705	نفر§n-13075	role		*-2||| %%%%]
	[1	آدم	N	SBJ	14	آدم§n-14705	نفر§n-13075	role	Arg1	Arg0		||| %%%%]
	[3	حوا	N	NCONJ	1	null	null	role		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[6	بهشت	N	VPP	10	جنت§n-11846	جا§n-12733	location	Arg3		||| %%%%]
			[6	بهشت	N	NPP	8	جنت§n-11846	جا§n-12733	location	Arg3		||| %%%%]
	[8	زمين	N	VPP	10	زمين§n-13297	شيء§n-12703	location	Arg4		||| %%%%]
			[19	زمين	N	NPP	20	زمين§n-13297	شيء§n-12703	location	Arg3		||| %%%%]
	[23	آن	PR	PREDEP	24	زمين§n-13297	شيء§n-12703	location		19||| %%%%]
			[33	آن	PR	POSDEP	32	زمين§n-13297	شيء§n-12703	location		19||| %%%%]
	[7	دنيا	N	MOZ	6	عالم§n-10090	شيء§n-12703	location		||| %%%%]
	[11	سرزمين	N	VPP	14	خطه§n-13265	جا§n-12733	location	Arg4		||| %%%%]
	[12	مکه	N	MOZ	11	مکه مکرمه§n-23602	جا§n-12733	location		loc||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[26	سازند	V	VCONJ	35	کردن§v-8678	رخداد§n-13136	role_action		12||| %%%%]
	[9	شدند	V	NCL	4	معزول شدن§v-8026	رخداد§n-13136	role_action		1||| %%%%]
	[14	آمدند	V	ROOT	0	فرود آمدن§v-9200	رخداد§n-13136	role_action		1||| %%%%]]
role_states= [
	[8	اخراج	N	NVE	9	اخراج§n-10459	رخداد§n-13136	role_state		1||| %%%%]]
role_intents= [
	[14	آگاه	ADJ	MOS	15	مطلع§a-2110	مشخصه§n-12756	role_intent	Arg2		12||| %%%%]
	[20	اقامت	N	NVE	21	اقامت کردن§n-10696	رخداد§n-13136	role_intent		12||| %%%%]
	[34	بهره‌مند	ADJ	MOS	35	متمتع§a-17760	مشخصه§n-12756	role_intent	Arg2		12||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= [
	[25	آباد	ADJ	MOS	26	null	null	static_object_state	Arg2		19||| %%%%]]

newScene5*************************************

1	حضرت	N	SBJ	10	null	null	role_state	Arg0		2||| %%%%
2	آدم	N	MOZ	1	آدم§n-14705	نفر§n-13075	role		||| %%%%
3	بر	PREP	VPP	10	null	null	junk	Arg4		||| %%%%
4	کوه	N	POSDEP	3	کوه§n-13301	شيء§n-12703	location		||| %%%%
5	صفا	N	MOZ	4	صفا§n-15080	شيء§n-12703	location		loc||| %%%%
6	در	PREP	NPP	4	null	null	junk		||| %%%%
7	کنار	N	POSDEP	6	نزدیک§n-10189	جا§n-12733	location		||| %%%%
8	کعبه	N	MOZ	7	کعبه§n-13717	ساختار§n-12875	location		||| %%%%
9	هبوط	N	NVE	10	هبوط§n-11628	رخداد§n-13136	role_state		2||| %%%%
10	کرد	V	PREDEP	29	null	null	role_action		2||| %%%%
11	ازاين‌رو	SUBR	AJUCL	10	null	null	no	ArgM_DIS		||| %%%%
12	آن	PR	PREDEP	13	کوه§n-13301	شيء§n-12703	location		4||| %%%%
13	را	POSTP	OBJ	16	null	null	junk	Arg3		||| %%%%
14	کوه	N	TAM	16	کوه§n-13301	شيء§n-12703	location	Arg2		||| %%%%
15	صفا	N	MOZ	14	صفا§n-15080	شيء§n-12703	location		||| %%%%
16	گويند	V	PRD	11	null	null	junk		||| %%%%
17	که	SUBR	NCL	15	null	null	junk		||| %%%%
18	آدم	N	SBJ	28	آدم§n-14705	نفر§n-13075	role	Arg1		||| %%%%
19	صفي	N	MOZ	18	null	null	role_state		18||| %%%%
20	..ا	N	MOZ	19	null	null	no		||| %%%%
21	(	PUNC	PUNC	22	null	null	junk		||| %%%%
22	برگزيده	N	APP	19	منتخب§n-11356	رخداد§n-13136	role_state		18||| %%%%
23	خدا	N	MOZ	22	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
24	)	PUNC	PUNC	22	null	null	junk		||| %%%%
25	در	PREP	AJPP	27	null	null	junk		||| %%%%
26	آنجا	N	POSDEP	25	null	null	location		||| %%%%
27	وارد	ADJ	MOS	28	تو§n-11857	جا§n-12733	no	Arg2		||| %%%%
28	شد	V	PRD	17	وارد شدن§v-8510	رخداد§n-13136	role_action		18||| %%%%
roles= [
	[2	آدم	N	MOZ	1	آدم§n-14705	نفر§n-13075	role		||| %%%%]
			[18	آدم	N	SBJ	28	آدم§n-14705	نفر§n-13075	role	Arg1		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[4	کوه	N	POSDEP	3	کوه§n-13301	شيء§n-12703	location		||| %%%%]
			[14	کوه	N	TAM	16	کوه§n-13301	شيء§n-12703	location	Arg2		||| %%%%]
	[5	صفا	N	MOZ	4	صفا§n-15080	شيء§n-12703	location		loc||| %%%%]
			[15	صفا	N	MOZ	14	صفا§n-15080	شيء§n-12703	location		||| %%%%]
	[7	کنار	N	POSDEP	6	نزدیک§n-10189	جا§n-12733	location		||| %%%%]
	[8	کعبه	N	MOZ	7	کعبه§n-13717	ساختار§n-12875	location		||| %%%%]
	[12	آن	PR	PREDEP	13	کوه§n-13301	شيء§n-12703	location		4||| %%%%]
	[26	آنجا	N	POSDEP	25	null	null	location		||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[10	کرد	V	PREDEP	29	null	null	role_action		2||| %%%%]
	[28	شد	V	PRD	17	وارد شدن§v-8510	رخداد§n-13136	role_action		18||| %%%%]]
role_states= [
	[1	حضرت	N	SBJ	10	null	null	role_state	Arg0		2||| %%%%]
	[9	هبوط	N	NVE	10	هبوط§n-11628	رخداد§n-13136	role_state		2||| %%%%]
	[19	صفي	N	MOZ	18	null	null	role_state		18||| %%%%]
	[22	برگزيده	N	APP	19	منتخب§n-11356	رخداد§n-13136	role_state		18||| %%%%]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene6*************************************

29	و	CONJ	VCONJ	45	null	null	junk		||| %%%%
30	حضرت	N	SBJ	45	null	null	role_state	Arg0	Arg0		31||| %%%%
31	حوا	N	MOZ	30	null	null	role		||| %%%%
32	بر	PREP	VPP	45	null	null	junk	Arg4		||| %%%%
33	بالاي	N	POSDEP	32	رو§n-11887	جا§n-12733	location		loc||| %%%%
34	کوه	N	MOZ	33	کوه§n-13301	شيء§n-12703	location		||| %%%%
35	مروه	N	MOZ	34	null	null	location		||| %%%%
36	(	PUNC	PUNC	37	null	null	junk		||| %%%%
37	يعني	PSUS	NCL	35	null	null	junk		||| %%%%
38	زن	N	MOS	37	خانم§n-12070	نفر§n-13075	role_state		31||| %%%%
39	که	SUBR	NCL	38	null	null	junk		||| %%%%
40	منظور	N	SBJ	42	هدف§n-11403	خصوصيت_رواني§n-12725	no	Arg1		||| %%%%
41	حوا	N	MOS	42	null	null	role	Arg2		||| %%%%
42	است	V	PRD	39	null	null	junk		||| %%%%
43	)	PUNC	PUNC	37	null	null	junk		||| %%%%
44	فرود	N	NVE	45	پايين رفتن§n-12788	رخداد§n-13136	no		||| %%%%
45	آمد	V	PREDEP	46	فرود آمدن§v-9200	رخداد§n-13136	role_action		31||| %%%%
46	و	CONJ	VCONJ	50	null	null	junk		||| %%%%
47	در	PREP	NPP	49	null	null	junk	Arg3		||| %%%%
48	آن	PR	POSDEP	47	کوه§n-13301	شيء§n-12703	location		34||| %%%%
49	سکونت	N	NVE	50	اقامت کردن§n-10696	رخداد§n-13136	role_intent		31||| %%%%
50	نمود	V	ROOT	0	سکونت کردن§v-9334	رخداد§n-13136	role_action		31||| %%%%
51	.	PUNC	PUNC	50	null	null	junk		||| %%%%
roles= [
	[31	حوا	N	MOZ	30	null	null	role		||| %%%%]
			[41	حوا	N	MOS	42	null	null	role	Arg2		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[33	بالاي	N	POSDEP	32	رو§n-11887	جا§n-12733	location		loc||| %%%%]
	[34	کوه	N	MOZ	33	کوه§n-13301	شيء§n-12703	location		||| %%%%]
	[35	مروه	N	MOZ	34	null	null	location		||| %%%%]
	[48	آن	PR	POSDEP	47	کوه§n-13301	شيء§n-12703	location		34||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[45	آمد	V	PREDEP	46	فرود آمدن§v-9200	رخداد§n-13136	role_action		31||| %%%%]
	[50	نمود	V	ROOT	0	سکونت کردن§v-9334	رخداد§n-13136	role_action		31||| %%%%]]
role_states= [
	[30	حضرت	N	SBJ	45	null	null	role_state	Arg0	Arg0		31||| %%%%]
	[38	زن	N	MOS	37	خانم§n-12070	نفر§n-13075	role_state		31||| %%%%]]
role_intents= [
	[49	سکونت	N	NVE	50	اقامت کردن§n-10696	رخداد§n-13136	role_intent		31||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene7*************************************

1	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0	Arg0		||| %%%%
2	چهل	NUM	NPREMOD	3	null	null	junk		||| %%%%
3	شبانه‌روز	N	ADVRB	6	24ساعت§n-12634	دوره_زماني§n-12603	time	ArgM_EXT		tim||| %%%%
4	به	PREP	VPP	6	null	null	junk	Arg3		||| %%%%
5	سجده	N	VPP	6	سجده§n-25850	رخداد§n-13136	role_state	Arg3		1||| %%%%
6	پرداخت	V	VCONJ	12	پرداختن§v-19365	رخداد§n-13136	role_action		1||| %%%%
7	و	CONJ	VCONJ	12	null	null	junk		||| %%%%
8	از	PREP	VPP	12	null	null	junk	Arg3		||| %%%%
10	بهشت	N	MOZ	9	جنت§n-11846	جا§n-12733	no		||| %%%%
11	گريه	N	NVE	12	گريه§n-15717	خصوصيت_رواني§n-12725	role_state		1||| %%%%
12	کرد	V	PREDEP	13	زار زار کردن§v-8977	رخداد§n-13136	role_action		1||| %%%%
13	و	CONJ	VCONJ	18	null	null	junk		||| %%%%
14	به	PREP	NPP	17	null	null	junk	Arg3		||| %%%%
15	گناه	N	NPP	17	ذنب§n-10598	رخداد§n-13136	role_intent	Arg3		16||| %%%%
16	خود	PR	MOZ	15	null	null	junk		||| %%%%
17	اقرار	N	NVE	18	اقرار§n-22419	null	role_intent		16||| %%%%
18	نمود	V	ROOT	0	مقر آمدن§v-22066	رخداد§n-13136	role_action		16||| %%%%
19	،	PUNC	PUNC	18	null	null	junk		||| %%%%
roles= [
	[1	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0	Arg0		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= [
	[3	شبانه‌روز	N	ADVRB	6	24ساعت§n-12634	دوره_زماني§n-12603	time	ArgM_EXT		tim||| %%%%]]
scene_goals= []
scene_emotions= []
role_actions= [
	[6	پرداخت	V	VCONJ	12	پرداختن§v-19365	رخداد§n-13136	role_action		1||| %%%%]
	[12	کرد	V	PREDEP	13	زار زار کردن§v-8977	رخداد§n-13136	role_action		1||| %%%%]
	[18	نمود	V	ROOT	0	مقر آمدن§v-22066	رخداد§n-13136	role_action		16||| %%%%]]
role_states= [
	[5	سجده	N	VPP	6	سجده§n-25850	رخداد§n-13136	role_state	Arg3		1||| %%%%]
	[11	گريه	N	NVE	12	گريه§n-15717	خصوصيت_رواني§n-12725	role_state		1||| %%%%]]
role_intents= [
	[15	گناه	N	NPP	17	ذنب§n-10598	رخداد§n-13136	role_intent	Arg3		16||| %%%%]
	[17	اقرار	N	NVE	18	اقرار§n-22419	null	role_intent		16||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene8*************************************

1	به	PREP	ADVRB	6	null	null	junk	ArgM_ADV		||| %%%%
2	فرمان	N	ADVRB	6	امر§n-11505	رخداد§n-13136	no	ArgM_ADV		||| %%%%
3	خداوند	N	MOZ	2	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
4	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0		||| %%%%
5	مامور	ADJ	MOS	6	مامور§a-2105	مشخصه§n-12756	role_intent	Arg2		4||| %%%%
6	گشت	V	ROOT	0	مامور کردن§v-15650	رخداد§n-13136	no		||| %%%%
7	تا	SUBR	AJUCL	6	null	null	junk	ArgM_PRP		||| %%%%
8	ميراث	N	OBJ	23	ارث§n-10427	رخداد§n-13136	no	Arg1		||| %%%%
9	نبوت	N	MOZ	8	null	null	no		||| %%%%
10	و	CONJ	NCONJ	9	null	null	junk		||| %%%%
11	گنجينه	N	NCONJ	9	گنجينه§n-15773	شيء§n-12703	no		||| %%%%
12	دانش	N	MOZ	11	شناخت§n-12727	خصوصيت_رواني§n-12725	no		||| %%%%
13	الهي	ADJ	NPOSTMOD	12	رباني§a-2083	مشخصه§n-12756	no		||| %%%%
14	خود	PR	MOZ	12	آدم§n-14705	نفر§n-13075	role		4||| %%%%
15	را	POSTP	OBJ	23	null	null	junk	Arg1		||| %%%%
16	نزد	PREP	VPP	23	محضر§n-10120	جا§n-12733	no	Arg3		||| %%%%
17	فرزند	N	POSDEP	16	بچه§n-13350	نفر§n-13075	role		||| %%%%
18	کوچک	ADJ	NPOSTMOD	17	جوان§a-82	مشخصه§n-12756	role_state		17||| %%%%
19	ش	PR	MOZ	17	آدم§n-14705	نفر§n-13075	role		4||| %%%%
20	هابيل	N	APP	17	null	نفر§n-13075	role		||| %%%%
21	به	PREP	VPRT	23	null	null	junk		||| %%%%
22	وديعه	N	VPRT	23	null	null	no		||| %%%%
23	نهد	V	AJUCL	6	null	null	role_action		4||| %%%%
24	.	PUNC	PUNC	6	null	null	junk		||| %%%%
roles= [
	[4	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0		||| %%%%]
	[14	خود	PR	MOZ	12	آدم§n-14705	نفر§n-13075	role		4||| %%%%]
	[17	فرزند	N	POSDEP	16	بچه§n-13350	نفر§n-13075	role		||| %%%%]
	[19	ش	PR	MOZ	17	آدم§n-14705	نفر§n-13075	role		4||| %%%%]
	[20	هابيل	N	APP	17	null	نفر§n-13075	role		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[23	نهد	V	AJUCL	6	null	null	role_action		4||| %%%%]]
role_states= [
	[18	کوچک	ADJ	NPOSTMOD	17	جوان§a-82	مشخصه§n-12756	role_state		17||| %%%%]]
role_intents= [
	[5	مامور	ADJ	MOS	6	مامور§a-2105	مشخصه§n-12756	role_intent	Arg2		4||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene9*************************************

1	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0		||| %%%%
2	در	PREP	VPP	6	null	null	junk	Arg3		||| %%%%
3	بستر	N	VPP	6	بالين§n-10323	شيء§n-12703	location	Arg3		loc||| %%%%
4	رحلت	N	MOZ	3	مرگ§n-20636	مشخصه§n-12756	role_state		1||| %%%%
5	قرار	N	NVE	6	null	null	no		||| %%%%
6	گرفت	V	PREDEP	7	جا گرفتن§v-8898	رخداد§n-13136	role_action		1||| %%%%
7	و	CONJ	VCONJ	25	null	null	junk		||| %%%%
8	در	PREP	ADVRB	25	null	null	junk	ArgM_ADV		||| %%%%
9	حالي	N	ADVRB	25	null	null	no	ArgM_ADV		||| %%%%
10	‌که	SUBR	NCL	9	null	null	no		||| %%%%
11	زبان	N	SBJ	21	زبان§n-13978	شيء§n-12703	no	Arg1		||| %%%%
12	ش	PR	MOZ	11	آدم§n-14705	نفر§n-13075	role		1||| %%%%
13	به	PREP	AJPP	20	null	null	junk		||| %%%%
14	يکتايي	N	AJPP	20	وحدانيت§n-23336	مشخصه§n-12756	role_intent		1||| %%%%
15	خداوند	N	MOZ	14	باري تعالي§n-11940	خصوصيت_رواني§n-12725	no		||| %%%%
16	و	CONJ	NCONJ	14	null	null	junk		||| %%%%
17	شکر	N	NCONJ	14	شکر§n-11536	مشخصه§n-12756	role_intent		1||| %%%%
18	و	CONJ	NCONJ	17	null	null	junk		||| %%%%
19	سپاس	N	NCONJ	17	شکر§n-11536	مشخصه§n-12756	role_intent		1||| %%%%
20	مشغول	ADJ	MOS	21	درگير§a-540	مشخصه§n-12756	role_state	Arg2		1||| %%%%
21	بود	V	PRD	10	null	null	junk		||| %%%%
22	به	PREP	VPP	25	null	null	junk	Arg3		||| %%%%
23	رحمت	N	VPP	25	موهبت الهي§n-12481	مشخصه§n-12756	role_intent	Arg3		1||| %%%%
24	حق	N	MOZ	23	null	null	junk		||| %%%%
25	پيوست	V	ROOT	0	پيوستن§v-7523	رخداد§n-13136	role_action		1||| %%%%
26	.	PUNC	PUNC	25	null	null	junk		||| %%%%
roles= [
	[1	آدم	N	SBJ	6	آدم§n-14705	نفر§n-13075	role	Arg0	Arg0		||| %%%%]
	[12	ش	PR	MOZ	11	آدم§n-14705	نفر§n-13075	role		1||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[3	بستر	N	VPP	6	بالين§n-10323	شيء§n-12703	location	Arg3		loc||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[6	گرفت	V	PREDEP	7	جا گرفتن§v-8898	رخداد§n-13136	role_action		1||| %%%%]
	[25	پيوست	V	ROOT	0	پيوستن§v-7523	رخداد§n-13136	role_action		1||| %%%%]]
role_states= [
	[4	رحلت	N	MOZ	3	مرگ§n-20636	مشخصه§n-12756	role_state		1||| %%%%]
	[20	مشغول	ADJ	MOS	21	درگير§a-540	مشخصه§n-12756	role_state	Arg2		1||| %%%%]]
role_intents= [
	[14	يکتايي	N	AJPP	20	وحدانيت§n-23336	مشخصه§n-12756	role_intent		1||| %%%%]
	[17	شکر	N	NCONJ	14	شکر§n-11536	مشخصه§n-12756	role_intent		1||| %%%%]
	[19	سپاس	N	NCONJ	17	شکر§n-11536	مشخصه§n-12756	role_intent		1||| %%%%]
	[23	رحمت	N	VPP	25	موهبت الهي§n-12481	مشخصه§n-12756	role_intent	Arg3		1||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene10*************************************

1	شيث	N	SBJ	6	حضرت شيث§n-23941	نفر§n-13075	role	Arg0	Arg0	Arg0	Arg0	Arg0	Arg0	Arg0		||| %%%%
2	پدر	N	OBJ	6	والد§n-13357	نفر§n-13075	role	Arg1	Arg1		||| %%%%
3	ش	PR	MOZ	2	حضرت شيث§n-23941	نفر§n-13075	role		1||| %%%%
4	را	POSTP	OBJ	6	null	null	junk	Arg1	Arg1		||| %%%%
5	غسل	N	NVE	6	غسل§n-16171	null	role_state		2||| %%%%
6	داد	V	PREDEP	7	null	null	role_action		1||| %%%%
7	و	CONJ	VCONJ	9	null	null	junk		||| %%%%
8	کفن	N	NVE	9	null	null	static_object		||| %%%%
9	کرد	V	PREDEP	10	null	null	role_action		1||| %%%%
10	و	CONJ	VCONJ	14	null	null	junk		||| %%%%
11	بر	PREP	ADVRB	14	null	null	junk	ArgM_GOL		||| %%%%
12	او	PR	POSDEP	11	والد§n-13357	نفر§n-13075	role		2||| %%%%
13	نماز	N	NVE	14	نماز§n-20660	رخداد§n-13136	role_state		1||| %%%%
14	خواند	V	VCONJ	17	null	null	role_action		1||| %%%%
15	و	CONJ	VCONJ	17	null	null	junk		||| %%%%
16	دفن	N	NVE	17	خاکسپاري§n-11616	رخداد§n-13136	role_state		2||| %%%%
17	کرد	V	PREDEP	18	به خاک سپردن§v-9614	رخداد§n-13136	role_action		1||| %%%%
roles= [
	[1	شيث	N	SBJ	6	حضرت شيث§n-23941	نفر§n-13075	role	Arg0	Arg0	Arg0	Arg0	Arg0	Arg0	Arg0		||| %%%%]
	[2	پدر	N	OBJ	6	والد§n-13357	نفر§n-13075	role	Arg1	Arg1		||| %%%%]
	[3	ش	PR	MOZ	2	حضرت شيث§n-23941	نفر§n-13075	role		1||| %%%%]
	[12	او	PR	POSDEP	11	والد§n-13357	نفر§n-13075	role		2||| %%%%]]
DynamicObjects= []
StaticObjects= [
	[8	کفن	N	NVE	9	null	null	static_object		||| %%%%]]
location= []
alternativeLocations= []
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[6	داد	V	PREDEP	7	null	null	role_action		1||| %%%%]
	[9	کرد	V	PREDEP	10	null	null	role_action		1||| %%%%]
	[14	خواند	V	VCONJ	17	null	null	role_action		1||| %%%%]
	[17	کرد	V	PREDEP	18	به خاک سپردن§v-9614	رخداد§n-13136	role_action		1||| %%%%]]
role_states= [
	[5	غسل	N	NVE	6	غسل§n-16171	null	role_state		2||| %%%%]
	[13	نماز	N	NVE	14	نماز§n-20660	رخداد§n-13136	role_state		1||| %%%%]
	[16	دفن	N	NVE	17	خاکسپاري§n-11616	رخداد§n-13136	role_state		2||| %%%%]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene11*************************************

18	و	CONJ	VCONJ	21	null	null	junk		||| %%%%
19	به‌جاي	PREP	VPP	21	null	null	location	Arg3		loc||| %%%%
20	پدر	N	POSDEP	19	والد§n-13357	نفر§n-13075	role		||| %%%%
21	نشست	V	VCONJ	29	قرار گرفتن§v-19953	رخداد§n-13136	role_action		*-1||| %%%%
22	و	CONJ	VCONJ	29	null	null	junk		||| %%%%
23	آيين	N	OBJ	29	مذهب§n-13209	خصوصيت_رواني§n-12725	no	Arg1		||| %%%%
24	پدر	N	MOZ	23	والد§n-13357	نفر§n-13075	role		||| %%%%
25	ش	PR	MOZ	24	حضرت شيث§n-23941	نفر§n-13075	role		*-1||| %%%%
26	را	POSTP	OBJ	29	null	null	junk	Arg1		||| %%%%
27	به	PREP	VPP	29	null	null	junk	Arg3		||| %%%%
28	مردم	N	POSDEP	27	عوام§n-13222	گروه§n-12753	role		||| %%%%
29	آموخت	V	VCONJ	42	تدريس کردن§v-9219	رخداد§n-13136	role_action		25||| %%%%
30	و	CONJ	VCONJ	42	null	null	junk		||| %%%%
31	نيز	ADV	ADVRB	42	null	null	junk	ArgM_ADV		||| %%%%
32	اين	ADJ	NPREMOD	33	null	null	junk		||| %%%%
33	وصايا	N	OBJ	42	null	null	no	Arg1		||| %%%%
34	را	POSTP	OBJ	42	null	null	junk	Arg1		||| %%%%
35	به	PREP	AJPP	41	null	null	junk		||| %%%%
36	پسر	N	AJPP	41	پور§n-12058	نفر§n-13075	role		||| %%%%
37	ش	PR	MOZ	36	حضرت شيث§n-23941	نفر§n-13075	role		*-1||| %%%%
38	[	PUNC	PUNC	39	null	null	junk		||| %%%%
39	شيبان	N	APP	36	null	null	role		||| %%%%
40	]	PUNC	PUNC	39	null	null	junk		||| %%%%
41	منتقل	ADJ	MOS	42	منتقل§a-1338	مشخصه§n-12756	role_intent	Arg2		37||| %%%%
42	کرد	V	ROOT	0	ابلاغ کردن§v-9622	رخداد§n-13136	role_action		37||| %%%%
43	.	PUNC	PUNC	42	null	null	junk		||| %%%%
roles= [
	[20	پدر	N	POSDEP	19	والد§n-13357	نفر§n-13075	role		||| %%%%]
			[24	پدر	N	MOZ	23	والد§n-13357	نفر§n-13075	role		||| %%%%]
	[25	ش	PR	MOZ	24	حضرت شيث§n-23941	نفر§n-13075	role		*-1||| %%%%]
			[37	ش	PR	MOZ	36	حضرت شيث§n-23941	نفر§n-13075	role		*-1||| %%%%]
	[28	مردم	N	POSDEP	27	عوام§n-13222	گروه§n-12753	role		||| %%%%]
	[36	پسر	N	AJPP	41	پور§n-12058	نفر§n-13075	role		||| %%%%]
	[39	شيبان	N	APP	36	null	null	role		||| %%%%]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= [
	[19	به‌جاي	PREP	VPP	21	null	null	location	Arg3		loc||| %%%%]]
time= []
alternativeTimes= []
scene_goals= []
scene_emotions= []
role_actions= [
	[21	نشست	V	VCONJ	29	قرار گرفتن§v-19953	رخداد§n-13136	role_action		*-1||| %%%%]
	[29	آموخت	V	VCONJ	42	تدريس کردن§v-9219	رخداد§n-13136	role_action		25||| %%%%]
	[42	کرد	V	ROOT	0	ابلاغ کردن§v-9622	رخداد§n-13136	role_action		37||| %%%%]]
role_states= []
role_intents= [
	[41	منتقل	ADJ	MOS	42	منتقل§a-1338	مشخصه§n-12756	role_intent	Arg2		37||| %%%%]]
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newStory*************************************
newScene0*************************************

1	حضرت	N	SBJ	7	null	null	role_state	Arg1		2||| %%%%
2	نوح	N	MOZ	1	حضرت نوح§n-23928	نفر§n-13075	role		||| %%%%
3	يکي‌از	ADJ	NPREMOD	4	null	null	role_state		||| %%%%
4	پيامبران	N	MOS	7	رسول§n-15053	نفر§n-13075	role_state	Arg2		2||| %%%%
5	عظيم‌الشان	ADJ	NPOSTMOD	4	null	null	role_state		2||| %%%%
6	الهي	ADJ	NPOSTMOD	4	رباني§a-2083	مشخصه§n-12756	role_state		2||| %%%%
7	است	V	ROOT	0	null	null	junk		||| %%%%
8	که	SUBR	NCL	4	null	null	junk		||| %%%%
9	نام	N	SBJ	16	null	null	junk	Arg1		||| %%%%
10	مبارک	ADJ	NPOSTMOD	9	همايون§a-1636	مشخصه§n-12756	no		||| %%%%
11	ش	PR	MOZ	9	حضرت نوح§n-23928	نفر§n-13075	role		2||| %%%%
12	43بار	ADV	ADVRB	16	null	null	no	ArgM_EXT		||| %%%%
13	در	PREP	VPP	16	null	null	junk	Arg3		||| %%%%
